Kayttajanimi;Aikaleima;Kysymys;Arvo;;;;;;;
10;1.6.2020;Minulle jaa riittavasti aikaa harrastuksille tyon/koulun ohella.;3;;;;;;;
20;3.6.2020;Minulle jaa riittavasti aikaa harrastuksille tyon/koulun ohella.;2;;;;;;;
30;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
40;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
50;1.6.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
60;2.6.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
70;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;2;;;;;;;
80;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;5;;;;;;;
90;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;5;;;;;;;
100;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
101;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;2;;;;;;;
102;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
29;1.6.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;4;;;;;;;
704;;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;;;;;;;;
907;29.5.2020;Minulle jaa riittavasti aikaa harrastuksille tyon koulun ohella.;5;;;;;;;
10;1.6.2020;Herasin aamulla virkeana.;2;;;;;;;
20;3.6.2020;Herasin aamulla virkeana.;2;;;;;;;
30;29.5.2020;Herasin aamulla virkeana.;4;;;;;;;
40;29.5.2020;Herasin aamulla virkeana.;5;;;;;;;
50;1.6.2020;Herasin aamulla virkeana.;2;;;;;;;
60;2.6.2020;Herasin aamulla virkeana.;4;;;;;;;
70;29.5.2020;Herasin aamulla virkeana.;3;;;;;;;
80;29.5.2020;Herasin aamulla virkeana.;2;;;;;;;
90;29.5.2020;Herasin aamulla virkeana.;4;;;;;;;
100;29.5.2020;Herasin aamulla virkeana.;2;;;;;;;
101;29.5.2020;Herasin aamulla virkeana.;4;;;;;;;
102;29.5.2020;Herasin aamulla virkeana.;3;;;;;;;
29;1.6.2020;Herasin aamulla virkeana.;3;;;;;;;
704;;Herasin aamulla virkeana.;;;;;;;;
907;29.5.2020;Herasin aamulla virkeana.;4;;;;;;;
10;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;1;;;;;;;
20;3.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;4;;;;;;;
30;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;5;;;;;;;
40;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;4;;;;;;;
50;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;1;;;;;;;
60;2.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;5;;;;;;;
70;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;3;;;;;;;
80;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;5;;;;;;;
90;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;4;;;;;;;
100;2.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;4;;;;;;;
101;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;3;;;;;;;
102;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;2;;;;;;;
29;1.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;2;;;;;;;
704;;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;;;;;;;;
907;2.6.2020;Pidan paivittain yhteytta minulle tarkeisiin ihmisiin.;2;;;;;;;
10;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;4;;;;;;;
20;3.6.2020;Liikuin eilen tavoitteiden mukaisesti.;2;;;;;;;
30;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;4;;;;;;;
40;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;5;;;;;;;
50;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;1;;;;;;;
60;2.6.2020;Liikuin eilen tavoitteiden mukaisesti.;5;;;;;;;
70;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;5;;;;;;;
80;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;2;;;;;;;
90;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;1;;;;;;;
100;2.6.2020;Liikuin eilen tavoitteiden mukaisesti.;2;;;;;;;
101;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;1;;;;;;;
102;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;4;;;;;;;
29;1.6.2020;Liikuin eilen tavoitteiden mukaisesti.;3;;;;;;;
704;;Liikuin eilen tavoitteiden mukaisesti.;;;;;;;;
907;2.6.2020;Liikuin eilen tavoitteiden mukaisesti.;4;;;;;;;
10;2.6.2020;Naen lahes paivittain ihmisia kasvokkain.;3;;;;;;;
20;3.6.2020;Naen lahes paivittain ihmisia kasvokkain.;4;;;;;;;
30;2.6.2020;Naen lahes paivittain ihmisia kasvokkain.;5;;;;;;;
